prefecture_code,prefecture_name,city_code,city_name,city_type,city_name_level,city_name_with_space,city_name_kana,city_name_kana_large,city_name_roman
22,静岡県,22131,浜松市中区,区,2,浜松市 中区,ハママツシナカク,ハママツシナカク,Hamamatsu Shi Naka Ku
22,静岡県,22132,浜松市東区,区,2,浜松市 東区,ハママツシヒガシク,ハママツシヒガシク,Hamamatsu Shi Higashi Ku
22,静岡県,22133,浜松市西区,区,2,浜松市 西区,ハママツシニシク,ハママツシニシク,Hamamatsu Shi Nishi Ku
22,静岡県,22134,浜松市南区,区,2,浜松市 南区,ハママツシミナミク,ハママツシミナミク,Hamamatsu Shi Minami Ku
22,静岡県,22135,浜松市北区,区,2,浜松市 北区,ハママツシキタク,ハママツシキタク,Hamamatsu Shi Kita Ku
22,静岡県,22136,浜松市浜北区,区,2,浜松市 浜北区,ハママツシハマキタク,ハママツシハマキタク,Hamamatsu Shi Hamakita Ku
22,静岡県,22137,浜松市天竜区,区,2,浜松市 天竜区,ハママツシテンリュウク,ハママツシテンリユウク,Hamamatsu Shi Tenryu Ku
22,静岡県,22203,沼津市,市,1,沼津市,ヌマヅシ,ヌマヅシ,Numazu Shi
22,静岡県,22205,熱海市,市,1,熱海市,アタミシ,アタミシ,Atami Shi
22,静岡県,22206,三島市,市,1,三島市,ミシマシ,ミシマシ,Mishima Shi
22,静岡県,22207,富士宮市,市,1,富士宮市,フジノミヤシ,フジノミヤシ,Fujinomiya Shi
22,静岡県,22208,伊東市,市,1,伊東市,イトウシ,イトウシ,Ito Shi
22,静岡県,22209,島田市,市,1,島田市,シマダシ,シマダシ,Shimada Shi
22,静岡県,22210,富士市,市,1,富士市,フジシ,フジシ,Fuji Shi
22,静岡県,22211,磐田市,市,1,磐田市,イワタシ,イワタシ,Iwata Shi
22,静岡県,22212,焼津市,市,1,焼津市,ヤイヅシ,ヤイヅシ,Yaizu Shi
22,静岡県,22213,掛川市,市,1,掛川市,カケガワシ,カケガワシ,Kakegawa Shi
22,静岡県,22214,藤枝市,市,1,藤枝市,フジエダシ,フジエダシ,Fujieda Shi
22,静岡県,22215,御殿場市,市,1,御殿場市,ゴテンバシ,ゴテンバシ,Gotemba Shi
22,静岡県,22216,袋井市,市,1,袋井市,フクロイシ,フクロイシ,Fukuroi Shi
22,静岡県,22219,下田市,市,1,下田市,シモダシ,シモダシ,Shimoda Shi
22,静岡県,22220,裾野市,市,1,裾野市,スソノシ,スソノシ,Susono Shi
22,静岡県,22221,湖西市,市,1,湖西市,コサイシ,コサイシ,Kosai Shi
22,静岡県,22222,伊豆市,市,1,伊豆市,イズシ,イズシ,Izu Shi
22,静岡県,22223,御前崎市,市,1,御前崎市,オマエザキシ,オマエザキシ,Omaezaki Shi
22,静岡県,22224,菊川市,市,1,菊川市,キクガワシ,キクガワシ,Kikugawa Shi
